,alpha,beta_1,beta_2,beta_3,beta_4,beta_5
BKNG,-6.803614676697877e-18,0.47512310103226246,0.028714334452572536,0.05932677104844708,-0.11127516331107067,-0.00906215467665378
BKR,4.267191582163556e-18,0.6218218848939222,0.02113953926306744,0.39743496532980754,0.040294717251081136,-0.11359743225735068
BLK,-1.923751208563785e-17,0.7334817064362108,0.17079455474526106,-0.04995508365491059,0.02238783491228872,0.03785060277158116
BMY,-1.1103889847027626e-17,0.5662491517152642,-0.18628566758003554,-0.09597989333402383,0.09264676067912525,0.11219684721384966
BRK-B,-2.7125413930846825e-18,0.6019949865188321,0.10340856452557456,0.040705735417629355,0.07194926225258608,0.007279107536903431
BRO,1.883487491831394e-17,0.5969986929882416,0.05668342502279733,-0.09395698256998943,0.050906939997799355,0.007992530402890573
BSX,-2.8411323569872824e-17,0.5366195855556408,-0.08581361323916617,0.020538535928387572,0.03947044231192215,0.042642615348184185
BWA,1.1058523498804827e-17,0.6869858289665063,0.1576316751353092,0.07042089832551862,-0.08900492327183486,-0.06304851201711564
BXP,4.848545684320021e-18,0.7474412747260085,0.32305096407792944,-0.14300018102335543,0.13486683804465277,-0.0547556111589281
C,4.595718186989334e-18,0.6440195075007397,0.33574590849040487,-0.03172308533912272,0.1650680789862025,0.11317229854117326
CAG,1.9750899057221922e-17,0.4679198277839645,-0.13428745236809275,-0.056512186459567154,0.06440485398311721,0.005806704513741261
CAH,2.1138261175024098e-17,0.5571490391252941,-0.12766089107475473,-0.011996957419332918,0.048431056325985586,0.018015732478197075
CAT,-6.064398383553047e-18,0.7270711210504773,0.08998295752668714,0.18236148788804746,-0.057083990579457164,-0.08763946680162552
CB,1.9629100328480957e-17,0.6823724445133986,0.054970776816732576,-0.07134759194040531,0.11360259788219715,0.010265774509448218
CCI,-1.6838099902958232e-17,0.6148348089329934,0.08960350658658257,0.04049209508041215,-0.0153008182945823,-0.00378592830250599
CCL,5.616645435674426e-18,0.7111423555435219,0.14125687043421423,-0.08244793188665148,-0.03308291331170476,-0.028920130798728894
CDNS,1.8136562610242657e-18,0.5766619037809653,0.1261077125804171,0.060148321739095484,-0.05704285091204164,0.06788934650552295
CHD,1.6399155937609998e-18,0.49848995129755036,-0.1614696486670428,-0.09801829086202068,0.06219461546027636,-0.05706948449865981
CHRW,-1.4211595767201592e-17,0.6259330450446792,0.004688089607217581,-0.02040535690833365,-0.09876220166293466,-0.062472007733785424
CI,-1.4986198703355818e-17,0.575686645868143,0.012027001775246812,0.008481396503149061,0.12692506895336259,0.06003173850038733
CINF,5.178365895964864e-18,0.7937110050045375,0.12945938417591313,-0.08685003336675876,0.13217331030451424,0.05133710900615168
CL,-1.5000501568334766e-17,0.58657981373304,-0.35588544193502314,-0.13040688297114755,0.08197345617930586,-0.015158809577796781
CLX,-1.7070448726618337e-18,0.5338350474925136,-0.16481388703627678,-0.125505932998463,0.028763856803363387,-0.022291772646364737
CMA,8.205199881993838e-18,0.667501312843064,0.3456166484585356,-0.13233205769965903,0.15407238894728345,0.06780298683708502
CMCSA,-5.890317821542846e-18,0.7250185015970916,-0.018031596394159695,-0.027423228801288464,-0.026670060942619627,0.07999100871231997
CME,4.334125916398887e-18,0.6237785697994148,0.17371228665230845,-0.03367778720979645,-0.008232985363386916,0.04654481236485694
CMI,-7.097594232749991e-18,0.7149555895631886,0.10986728750454205,0.1997031831746358,-0.07022394863861772,-0.027752039166975034
CMS,3.2646409304253212e-18,0.6371964011958922,-0.19766648082505528,0.08634393286093664,0.1618656999362198,-0.13338489846697774
CNC,-8.152760570313551e-19,0.3891092818202515,-0.011213893979042261,-0.0425617746258679,-0.017478282327259537,-0.03350120261803014
CNP,-1.6928535551062834e-18,0.6306634218060508,-0.20971639200284153,0.10234477170422249,0.1997260107727194,-0.11024124488668849
COF,-1.0658586137119727e-18,0.6936473439368024,0.34675948693052067,-0.07528982263542487,0.12159659203845528,0.058065189146997195
COO,4.006134786794188e-19,0.46343937349574693,-0.013067756550882905,-0.00854494339517068,0.03296656904727577,0.021912753206999543
COP,4.400890513603152e-19,0.6859082299175495,-0.0530005932434833,0.35429252778942355,0.0860669399435142,-0.09417719160499483
COR,-4.9128052982679874e-18,0.522622638293972,-0.17959116716884335,-0.013039597789696877,0.03416126365941453,0.01737186644508774
COST,-2.9223961211712433e-18,0.6309848557826643,-0.04898816575446112,-0.2182413967596354,-0.12730911103380865,-0.0720024190888339
CPB,1.3527390194870494e-17,0.5123010832478153,-0.2515838896831067,-0.0678534554244583,0.06439837038502305,-0.002455159182130757
CPRT,7.165058721779366e-18,0.48915355528999305,-0.026324997037630974,0.014227785410930515,-0.0885925521085439,-0.0873001421716705
CPT,1.3541403881393082e-18,0.6879080713068771,0.3484573088189078,-0.17576003242774704,0.12267997355048,-0.09413474241262484
CRL,-9.691417777039968e-18,0.47429741995407104,-0.03833860463489193,0.04112010484999433,-0.024351853524795578,0.022455964645132824
CSCO,2.2377152498104128e-17,0.6727207136518057,0.0025070617362369374,0.06984811981543178,-0.16316301688501456,0.1081302995239506
CSGP,1.4528001159032084e-17,0.5518216037360569,0.06098838145368482,0.0019078607214378686,-0.07290496171660384,-0.022858368220178286
CSX,-2.2164845851033186e-18,0.7030965259313018,0.09031805477140917,0.11041839473094286,-0.026719421341880285,-0.08716674878027054
CTAS,1.930545131986766e-17,0.7079738612726421,-0.04134605185935222,-0.020608424241206506,-0.07668979817919143,-0.030305856811015334
CTRA,-3.189958341918175e-18,0.5698788648320019,0.008383671392317438,0.35909702747473987,0.015601184074546564,-0.11161863592438312
CTSH,8.17980690120454e-18,0.641804214946222,0.014444444975538012,0.07209112651330116,-0.13960281692011475,0.028206976922707294
CVS,3.798699175110621e-18,0.5776571301210365,-0.125234260338635,-0.12843900087506616,-0.13366596685359428,-0.2640733046012076
CVX,-2.42637648447073e-19,0.7352945408535331,-0.1341513362772727,0.30661111118354667,0.10166084134500683,-0.06290116756305605
D,7.543863068323816e-18,0.6424568480565338,-0.2983944801360296,0.11458536657828923,0.22811546787107007,-0.11047520227772696
DD,2.6115409602449375e-17,0.7060347309412659,0.08154109585494318,0.12741966316142148,-0.0006184172924654854,-0.07556375255519898
DE,9.95125001952407e-18,0.6889915436174727,0.13002794922408376,0.19616261995870066,-0.06896996908282449,-0.07785591516532392
DGX,7.151991680903235e-18,0.517715404535401,-0.15665523127042733,-0.04170849009425477,0.07233211396636298,-0.03965257149788917
DHI,7.049083212722452e-18,0.6002999920409579,0.2703393932208843,-0.1440928229955355,-0.014498989657177566,-0.1953511673507248
DHR,6.063050435946442e-18,0.7636661198839635,-0.017928601515578332,0.05395217992744831,-0.08511201336153272,-0.042714319439726194
DIS,1.1397838798683734e-17,0.7755625077649397,-0.0008692775928807418,0.04942160357223671,-0.02919139111290339,0.009629068741896209
DLTR,3.098671476418506e-18,0.4154249441239976,-0.03970633163053111,-0.23065626043977597,-0.16329206019313347,-0.08242487677795035
